종목코드,종목명,종가,대비,등락률,EPS,PER,선행 EPS,선행 PER,BPS,PBR,주당배당금,배당수익률
"007570","일양약품 ","28050","50","0.18","597","46.98",,,"10609","2.64","120","0.43"
"007575","일양약품우 ","28750","550","1.95",,,,,,,"145","0.50"
"008500","일정실업 ","36400","-1100","-2.93",,,,,"21268","1.71","0","0.00"
"081000","일진다이아 ","30350","50","0.17","511","59.39",,,"12787","2.37","300","0.99"
"020760","일진디스플 ","2535","30","1.20",,,,,"939","2.70","0","0.00"
"020150","일진머티리얼즈 ","135000","1500","1.12","927","145.63","2470","54.65","13255","10.18","200","0.15"
"103590","일진전기 ","5110","10","0.20","130","39.31",,,"8330","0.61","60","1.17"
"271940","일진하이솔루스 ","54500","100","0.18","536","101.68","942","57.88","1832","29.75","0","0.00"
"015860","일진홀딩스 ","5480","-10","-0.18","220","24.91","507","10.82","5870","0.93","100","1.82"
"226320","잇츠한불 ","17700","300","1.72",,,,,"18067","0.98","100","0.56"
"317400","자이에스앤디 ","9250","-150","-1.60","727","12.72","1287","7.19","5653","1.64","150","1.62"
"033240","자화전자 ","25050","100","0.40",,,"1257","19.93","15221","1.65","0","0.00"
"000950","전방 ","40200","250","0.63","5181","7.76",,,"83530","0.48","0","0.00"
"194370","제이에스코퍼레이션 ","21400","300","1.42","189","113.23","4199","5.10","11293","1.89","450","2.10"
"025620","제이준코스메틱 ","1030","-20","-1.90",,,,,"1201","0.86","0","0.00"
"036420","제이콘텐트리 ","54600","2500","4.80",,,"1166","46.81","11841","4.61","0","0.00"
"030000","제일기획 ","22850","-600","-2.56","1554","14.70","1809","12.63","8758","2.61","840","3.68"
"271980","제일약품 ","33850","-300","-0.88","473","71.56",,,"11724","2.89","70","0.21"
"001560","제일연마 ","8720","40","0.46","435","20.05",,,"8589","1.02","220","2.52"
"002620","제일파마홀딩스 ","16000","-250","-1.54","745","21.48",,,"25508","0.63","70","0.44"
"006220","제주은행 ","6130","-140","-2.23","481","12.74",,,"15856","0.39","100","1.63"
"089590","제주항공 ","17600","100","0.57",,,,,"5385","3.27","0","0.00"
"004910","조광페인트 ","8770","-120","-1.35","436","20.11",,,"15814","0.55","200","2.28"
"004700","조광피혁 ","54600","100","0.18","5532","9.87",,,"47356","1.15","300","0.55"
"001550","조비 ","21050","50","0.24","579","36.36",,,"9861","2.13","0","0.00"
"000480","조선내화 ","81000","-600","-0.74","10421","7.77",,,"154303","0.52","4200","5.19"
"120030","조선선재 ","109500","500","0.46","8778","12.47",,,"92985","1.18","1500","1.37"
"018470","조일알미늄 ","1980","30","1.54",,,,,"1274","1.55","0","0.00"
"002600","조흥 ","188000","-2000","-1.05","12528","15.01",,,"222051","0.85","6000","3.19"
"185750","종근당 ","111000","-2000","-1.77","7714","14.39","8508","13.05","46126","2.41","1000","0.90"
"063160","종근당바이오 ","41800","400","0.97","1147","36.44",,,"30760","1.36","200","0.48"
"001630","종근당홀딩스 ","76500","-1000","-1.29","15711","4.87",,,"107821","0.71","1400","1.83"
"044380","주연테크 ","1300","50","4.00",,,,,"689","1.89","0","0.00"
"013890","지누스 ","77100","-100","-0.13","3051","25.27","7067","10.91","26243","2.94","800","1.04"
"013870","지엠비코리아 ","5930","20","0.34",,,,,"11553","0.51","0","0.00"
"071320","지역난방공사 ","38750","-150","-0.39","2279","17.00","3817","10.15","155780","0.25","965","2.49"
"010580","지코 ","1530","0","0.00",,,,,"885","1.73","0","0.00"
"035000","지투알 ","7050","50","0.71","558","12.63",,,"8771","0.80","300","4.26"
"088790","진도 ","2820","50","1.81",,,,,"7790","0.36","0","0.00"
"003780","진양산업 ","8370","-160","-1.88","395","21.19",,,"3341","2.51","180","2.15"
"010640","진양폴리 ","6790","190","2.88","161","42.17",,,"2691","2.52","125","1.84"
"100250","진양홀딩스 ","3665","-105","-2.79","475","7.72",,,"5815","0.63","170","4.64"
"051630","진양화학 ","5500","-20","-0.36","69","79.71",,,"2300","2.39","0","0.00"
"272450","진에어 ","16700","-150","-0.89",,,,,"2106","7.93","0","0.00"
"011000","진원생명과학 ","16200","550","3.51",,,,,"1440","11.25","0","0.00"
"002780","진흥기업 ","2180","-10","-0.46","140","15.57",,,"811","2.69","0","0.00"
"002787","진흥기업2우B ","14400","0","0.00",,,,,,,"0","0.00"
"002785","진흥기업우B ","5930","50","0.85",,,,,,,"0","0.00"
"009310","참엔지니어링 ","1280","5","0.39","90","14.22",,,"1453","0.88","0","0.00"
"000650","천일고속 ","67300","-400","-0.59",,,,,"26545","2.54","3000","4.46"
"033250","체시스 ","1255","50","4.15",,,,,"1040","1.21","0","0.00"
"035720","카카오 ","112500","-1500","-1.32","369","304.88","2407","46.74","14286","7.87","30","0.03"
"323410","카카오뱅크 ","59000","-800","-1.34","309","190.94","857","68.85","6861","8.60","0","0.00"
"377300","카카오페이 ","174500","-2000","-1.13",,,"339","514.77","1640","106.40","0","0.00"
"006380","카프로 ","4790","140","3.01",,,,,"3095","1.55","0","0.00"
"109070","컨버즈 ","4100","0","0.00",,,,,"539","7.61","0","0.00"
"001620","케이비아이동국실업 ","810","3","0.37",,,,,"2511","0.32","0","0.00"
"029460","케이씨 ","22850","550","2.47","3851","5.93",,,"43711","0.52","300","1.31"
"281820","케이씨텍 ","24050","100","0.42","2118","11.36","2809","8.56","16672","1.44","220","0.91"
"381970","케이카 ","34100","850","2.56","602","56.64","1447","23.57","4268","7.99","0","0.00"
"007815","코리아써우 ","8760","50","0.57",,,,,,,"0","0.00"
"007810","코리아써키트 ","31200","300","0.97","422","73.93","3201","9.75","12532","2.49","0","0.00"
"00781K","코리아써키트2우B ","9770","-10","-0.10",,,,,,,"0","0.00"
"003690","코리안리 ","9250","40","0.43","1252","7.39","1919","4.82","20403","0.45","450","4.86"
"192820","코스맥스 ","87400","-1400","-1.58","2086","41.90","9119","9.58","33444","2.61","0","0.00"
"044820","코스맥스비티아이 ","13600","0","0.00",,,,,"30308","0.45","200","1.47"
"005070","코스모신소재 ","46150","150","0.33","401","115.09","1276","36.18","6045","7.63","0","0.00"
"005420","코스모화학 ","16100","600","3.87",,,,,"4716","3.41","0","0.00"
"071950","코아스 ","1115","15","1.36",,,,,"771","1.45","0","0.00"
"002020","코오롱 ","33050","1500","4.75","10889","3.04",,,"52610","0.63","500","1.51"
"003070","코오롱글로벌 ","22600","400","1.80","3249","6.96","6747","3.35","18560","1.22","400","1.77"
"003075","코오롱글로벌우 ","30300","0","0.00",,,,,,,"450","1.49"
"002025","코오롱우 ","20800","350","1.71",,,,,,,"550","2.64"
"120110","코오롱인더 ","70900","100","0.14","6834","10.37","8573","8.27","73257","0.97","1000","1.41"
"120115","코오롱인더우 ","34350","100","0.29",,,,,,,"1050","3.06"
"138490","코오롱플라스틱 ","13000","-150","-1.14","79","164.56",,,"5217","2.49","0","0.00"
"021240","코웨이 ","74400","-2400","-3.13","5584","13.32","7183","10.36","20207","3.68","1200","1.61"
"031820","콤텍시스템 ","930","4","0.43",,,,,"1163","0.80","0","0.00"
"192400","쿠쿠홀딩스 ","19150","-250","-1.29","3434","5.58",,,"21397","0.89","660","3.45"
"284740","쿠쿠홈시스 ","39200","500","1.29","3323","11.80",,,"22342","1.75","600","1.53"
"015590","큐로 ","457","5","1.11","7","65.29",,,"473","0.97","0","0.00"
"264900","크라운제과 ","9180","-160","-1.71","1247","7.36",,,"11481","0.80","250","2.72"
"26490K","크라운제과우 ","12650","-350","-2.69",,,,,,,"252","1.99"
"005740","크라운해태홀딩스 ","8580","0","0.00","1527","5.62",,,"18262","0.47","100","1.17"
"005745","크라운해태홀딩스우 ","12850","-100","-0.77",,,,,,,"105","0.82"
"259960","크래프톤 ","460000","-7000","-1.50","13771","33.40","26221","17.54","28377","16.21","0","0.00"
"020120","키다리스튜디오 ","15900","0","0.00","4","3975.00","694","22.92","1469","10.82","0","0.00"
"039490","키움증권 ","107000","-1000","-0.93","30319","3.53","27761","3.85","111919","0.96","3000","2.80"
"014580","태경비케이 ","5080","-50","-0.97","167","30.42",,,"4950","1.03","100","1.97"
"015890","태경산업 ","6700","-10","-0.15","186","36.02",,,"7968","0.84","240","3.58"
"006890","태경케미컬 ","12350","50","0.41","681","18.14",,,"10707","1.15","200","1.62"
"003240","태광산업 ","1043000","-31000","-2.89","125727","8.30",,,"2969365","0.35","1550","0.15"
"011280","태림포장 ","4375","-5","-0.11","43","101.74",,,"4352","1.01","0","0.00"
"004100","태양금속 ","1335","-10","-0.74",,,,,"2467","0.54","5","0.37"
"004105","태양금속우 ","2470","-10","-0.40",,,,,,,"10","0.40"
"009410","태영건설 ","10500","100","0.96","9514","1.10","3351","3.13","15974","0.66","325","3.10"
"009415","태영건설우 ","12200","-50","-0.41",,,,,,,"330","2.70"
"001420","태원물산 ","5820","-10","-0.17",,,,,"4160","1.40","50","0.86"
"007980","태평양물산 ","2275","-10","-0.44",,,"297","7.66","3487","0.65","0","0.00"
"055490","테이팩스 ","81400","-800","-0.97","2931","27.77","5681","14.33","24253","3.36","500","0.61"
"078000","텔코웨어 ","10950","0","0.00","332","32.98","299","36.64","11338","0.97","480","4.38"
"214420","토니모리 ","4715","-55","-1.15",,,,,"3344","1.41","0","0.00"
"019180","티에이치엔 ","4370","-25","-0.57",,,,,"3741","1.17","30","0.69"
"363280","티와이홀딩스 ","28200","550","1.99","10193","2.77","3553","7.94","28162","1.00","0","0.00"
"36328K","티와이홀딩스우 ","23100","-250","-1.07",,,,,,,"0","0.00"
"091810","티웨이항공 ","3200","30","0.95",,,,,"1060","3.02","0","0.00"
"004870","티웨이홀딩스 ","981","-12","-1.21",,,,,"923","1.06","0","0.00"
"005690","파미셀 ","13050","100","0.77","87","150.00",,,"952","13.71","0","0.00"
"036580","팜스코 ","6130","160","2.68","355","17.27",,,"8074","0.76","100","1.63"
"004720","팜젠사이언스 ","10500","-100","-0.94","675","15.56",,,"5677","1.85","0","0.00"
"028670","팬오션 ","5410","-130","-2.35","173","31.27","856","6.32","5250","1.03","50","0.92"
"010820","퍼스텍 ","2800","-95","-3.28","151","18.54",,,"930","3.01","0","0.00"
"016800","퍼시스 ","35800","50","0.14","3660","9.78",,,"40080","0.89","1000","2.79"
"001020","페이퍼코리아 ","1605","25","1.58","7","229.29",,,"748","2.15","0","0.00"
"090080","평화산업 ","1730","10","0.58",,,,,"465","3.72","0","0.00"
"010770","평화홀딩스 ","4460","-40","-0.89",,,,,"7852","0.57","150","3.36"
"058430","포스코강판 ","55000","-600","-1.08","1056","52.08",,,"37210","1.48","500","0.91"
"047050","포스코인터내셔널 ","22450","-200","-0.88","1934","11.61","3322","6.76","25598","0.88","700","3.12"
"003670","포스코케미칼 ","144000","1500","1.05","455","316.48","2153","66.89","15401","9.35","300","0.21"
"007630","폴루스바이오팜 ","1225","0","0.00",,,,,"1413","0.87","0","0.00"
"017810","풀무원 ","17300","0","0.00","399","43.36","882","19.62","10677","1.62","102","0.59"
"103140","풍산 ","31150","-250","-0.80","2567","12.13","5830","5.34","51539","0.60","600","1.93"
"005810","풍산홀딩스 ","28300","-750","-2.58","1454","19.46","6728","4.21","63127","0.45","1200","4.24"
"009810","플레이그램 ","2570","35","1.38","86","29.88",,,"783","3.28","0","0.00"
"086790","하나금융지주 ","42050","-650","-1.52","8858","4.75","11495","3.66","102296","0.41","1850","4.40"
"293480","하나제약 ","20150","-100","-0.49","864","23.32","2267","8.89","13083","1.54","510","2.53"
"039130","하나투어 ","74600","-1200","-1.58",,,,,"9688","7.70","0","0.00"
"352820","하이브 ","349000","-500","-0.14","2956","118.06","7232","48.26","33218","10.51","0","0.00"
"071090","하이스틸 ","2765","50","1.84",,,,,"6302","0.44","10","0.36"
"019490","하이트론 ","4200","-110","-2.55",,,,,"2286","1.84","0","0.00"
"000080","하이트진로 ","30150","-350","-1.15","1246","24.20","1571","19.20","15067","2.00","750","2.49"
"000087","하이트진로2우B ","19100","-150","-0.78",,,,,,,"800","4.19"
"000140","하이트진로홀딩스 ","12200","-150","-1.21","3014","4.05",,,"20817","0.59","400","3.28"
"000145","하이트진로홀딩스우 ","15300","-200","-1.29",,,,,,,"450","2.94"
